gender,birthdate,ypc,current_premium,age
F,5/8/1955,5,749.44,67.58
F,7/21/1955,5,812.29,67.38
M,7/23/1955,5,1575.15,67.37
M,10/25/1955,5,5044.66,67.11
M,11/18/1955,5,2255.67,67.05
M,12/31/1955,5,2137.15,66.93
M,2/18/1956,5,758.11,66.79
F,7/30/1956,5,1404.44,66.35
F,9/4/1956,5,375.34,66.25
F,7/27/1957,5,1623.32,65.36
F,11/12/1957,5,877.17,65.06
M,2/7/1958,5,693.25,64.82
M,2/14/1958,5,2746.01,64.81
M,2/25/1958,5,1011.57,64.78
M,3/10/1958,5,1309.53,64.74
M,6/8/1958,5,734.49,64.49
F,6/23/1958,5,890.68,64.45
M,8/8/1958,5,1342.81,64.33
M,11/18/1958,5,999.36,64.05
F,1/7/1959,5,1494.84,63.91
F,2/21/1959,5,621.12,63.79
F,3/3/1959,5,940.6,63.76
F,5/4/1959,5,588.83,63.59
M,7/2/1959,5,519.66,63.43
M,7/6/1959,5,881.67,63.42
F,7/12/1959,5,1846.95,63.40
F,1/9/1960,5,690.57,62.90
M,4/6/1960,5,2563.41,62.66
F,10/1/1960,5,933.33,62.18
F,11/23/1960,5,2162,62.03
F,12/24/1960,5,508.36,61.95
F,1/21/1961,5,962.88,61.87
F,5/6/1961,5,628.47,61.58
F,5/22/1961,5,1827.91,61.54
F,7/29/1961,5,929.78,61.35
F,9/11/1961,5,291.64,61.23
F,10/16/1961,5,499.22,61.14
M,12/27/1961,5,597.67,60.94
F,3/5/1962,5,772.15,60.75
F,3/28/1962,5,1896.86,60.69
F,5/7/1962,5,1879.82,60.58
M,8/16/1962,5,1648.37,60.30
M,8/17/1962,5,709.98,60.30
F,1/13/1963,5,546.09,59.89
M,1/19/1963,5,2625.92,59.88
F,1/23/1963,5,1137.49,59.87
M,2/20/1963,5,1176.88,59.79
F,6/4/1963,5,1192.45,59.50
M,7/28/1963,5,668.9,59.36
M,8/4/1963,5,1166.82,59.34
M,8/21/1963,5,1405.51,59.29
F,10/5/1963,5,1613.73,59.17
M,1/10/1964,5,1082.35,58.90
F,1/28/1964,5,1842.22,58.85
M,3/8/1964,5,2305.52,58.74
M,10/7/1964,5,1218.1,58.16
M,11/22/1964,5,1924.07,58.03
M,12/22/1964,5,1572.38,57.95
M,2/3/1965,5,1794.37,57.84
M,3/9/1965,5,1833.17,57.74
M,4/10/1965,5,844.75,57.66
M,6/20/1965,5,1360.09,57.46
F,7/24/1965,5,1816.07,57.37
F,7/30/1965,5,1608.84,57.35
M,8/28/1965,5,693.75,57.27
F,8/30/1965,5,825.25,57.27
M,9/19/1965,5,1198.08,57.21
M,9/26/1965,5,902.6,57.19
M,9/27/1965,5,1325.37,57.19
F,11/17/1965,5,1299.33,57.05
M,1/6/1966,5,610.15,56.91
M,1/24/1966,5,693.17,56.86
M,4/11/1966,5,1830.29,56.65
M,5/15/1966,5,1551.92,56.56
F,5/29/1966,5,406.52,56.52
F,9/11/1966,5,777,56.23
M,9/17/1966,5,1045.62,56.22
F,3/7/1967,5,433.08,55.75
M,4/8/1967,5,1149.79,55.66
M,7/21/1967,5,2530.25,55.38
M,7/22/1967,5,1264.95,55.37
M,8/2/1967,5,2277.18,55.34
M,10/5/1967,5,1246.6,55.17
F,1/27/1968,5,954.84,54.85
F,2/20/1968,5,724.15,54.79
F,2/27/1968,5,393.99,54.77
M,12/25/1968,5,2211.31,53.94
F,2/8/1969,5,358.74,53.82
F,3/26/1969,5,699.25,53.70
F,8/27/1969,5,791.67,53.27
F,9/6/1969,5,1147.91,53.25
F,2/25/1970,5,1974.44,52.78
F,4/30/1970,5,919.84,52.60
M,5/9/1970,5,2173.41,52.58
F,6/14/1970,5,782.62,52.48
M,7/19/1970,5,309.13,52.38
F,10/16/1970,5,616.52,52.14
M,12/20/1970,5,403.02,51.96
M,4/27/1971,5,1298.64,51.61
M,5/29/1971,5,670.33,51.52
F,9/21/1971,5,2951.03,51.21
F,11/9/1972,5,1028.8,50.07
M,3/16/1973,5,872.09,49.72
M,6/15/1973,5,787.08,49.47
M,6/28/1973,5,931.39,49.44
F,7/9/1973,5,831.7,49.41
F,9/25/1973,5,1433.31,49.20
M,10/2/1973,5,849.24,49.18
M,3/13/1974,5,641.07,48.73
M,7/10/1974,5,944.21,48.41
M,8/14/1974,5,1882.44,48.31
F,9/21/1975,5,1908.55,47.21
M,9/23/1975,5,862.53,47.20
F,10/23/1975,5,1423.58,47.12
M,12/26/1975,5,1137.34,46.94
M,7/14/1976,5,635.29,46.39
M,6/15/1977,5,582.3,45.47
F,8/27/1977,5,623.42,45.27
F,10/4/1977,5,1236.84,45.17
M,12/14/1977,5,965.26,44.98
F,5/3/1978,5,578.41,44.59
M,5/8/1978,5,840.64,44.58
F,6/6/1978,5,767.98,44.50
F,7/17/1979,5,1284.65,43.39
F,7/23/1979,5,700.46,43.37
F,11/12/1979,5,574.73,43.06
F,11/24/1979,5,747.12,43.03
F,2/19/1980,5,1070.6,42.79
F,7/30/1980,5,1104.29,42.35
F,8/26/1980,5,712.03,42.27
M,10/31/1980,5,988.19,42.09
M,11/13/1980,5,2883.15,42.06
F,12/31/1980,5,803.24,41.93
M,1/27/1981,5,1269.46,41.85
F,12/29/1981,5,817.14,40.93
F,5/23/1982,5,1082.93,40.54
M,6/8/1982,5,1374.78,40.49
F,9/23/1982,5,547.01,40.20
M,1/26/1983,5,819.59,39.86
M,3/5/1983,5,1139.73,39.75
F,7/24/1983,5,1050.05,39.37
M,12/12/1983,5,1034.6,38.98
F,2/28/1984,5,644.48,38.77
M,6/17/1985,5,1064.27,37.47
F,8/10/1985,5,1129.92,37.32
M,11/30/1985,5,1078.31,37.01
M,12/20/1985,5,1097.82,36.96
F,4/7/1986,5,782.78,36.66
F,5/31/1986,5,708.56,36.52
F,7/5/1986,5,330.91,36.42
M,9/26/1986,5,380.61,36.19
M,11/10/1986,5,1168.53,36.07
F,4/1/1987,5,905.58,35.68
F,12/6/1987,5,480.88,35.00
F,8/15/1988,5,681.24,34.30
M,12/12/1988,5,507.59,33.98
F,12/18/1988,5,777.21,33.96
F,9/11/1989,5,1303.99,33.23
F,3/6/1961,0,761.78,61.75
M,1/21/1962,0,1180.15,60.87
F,3/11/1962,0,1159.65,60.74
F,2/2/1964,0,711.76,58.84
M,7/29/1969,0,1812.79,53.35
M,3/26/1974,0,667.81,48.70
M,6/21/1974,0,780.04,48.46
F,8/8/1975,0,1444.86,47.33
M,7/24/1977,0,894.63,45.37
M,3/27/1979,0,782.44,43.69
F,11/10/1980,0,834.88,42.07
M,2/27/1982,0,1152.32,40.77
F,7/17/1982,0,689.13,40.39
M,10/24/1988,0,1003.29,34.11
F,3/24/1989,0,343.61,33.70
F,10/15/1949,1,1192.12,73.14
F,3/14/1952,1,1156.88,70.73
M,4/23/1952,1,1331.31,70.62
F,4/1/1953,1,591.29,69.68
F,5/29/1957,1,799.35,65.52
F,1/10/1958,1,889.02,64.90
F,4/14/1959,1,1196.79,63.64
M,7/11/1959,1,1750.46,63.40
F,8/1/1959,1,746.05,63.35
M,4/29/1960,1,723.35,62.60
F,1/2/1962,1,1781.56,60.92
M,1/17/1962,1,782.49,60.88
M,11/22/1963,1,737.96,59.04
M,2/5/1964,1,1521.38,58.83
F,3/5/1966,1,950.91,56.75
M,10/9/1968,1,577.59,54.15
F,5/8/1971,1,1558.92,51.58
M,6/19/1971,1,589.87,51.46
F,5/30/1972,1,1815.25,50.52
F,8/6/1974,1,1443,48.33
M,8/27/1974,1,1133.72,48.27
F,4/21/1977,1,1439.82,45.62
M,5/13/1977,1,362.18,45.56
F,12/2/1977,1,1286.27,45.01
M,9/14/1978,1,1308.75,44.23
M,1/1/1981,1,1546.83,41.93
M,3/19/1981,1,1015.64,41.72
M,3/30/1984,1,755.08,38.68
F,5/2/1985,1,998.37,37.59
F,6/6/1985,1,574.23,37.50
F,7/27/1986,1,1031.65,36.36
M,1/15/1987,1,815.14,35.89
F,5/10/1987,1,597.76,35.57
M,5/25/1987,1,637.87,35.53
M,8/29/1987,1,1586.55,35.27
M,8/10/1988,1,914.4,34.32
F,4/3/1989,1,752.36,33.67
M,10/22/1989,1,789.27,33.12
F,4/20/1992,1,2028.89,30.62
F,8/30/1992,1,1543.97,30.26
F,6/24/1951,2,807.02,71.45
M,8/21/1955,2,1009.38,67.29
M,12/2/1958,2,541.48,64.01
F,1/11/1964,2,1229.13,58.90
M,6/5/1964,2,3864.2,58.50
M,2/9/1969,2,919.8,53.82
M,4/27/1970,2,3142.37,52.61
F,12/15/1971,2,985.91,50.97
M,4/17/1972,2,1418.78,50.63
M,3/23/1974,2,2097.21,48.70
F,12/22/1974,2,777.18,47.95
M,10/5/1976,2,394.59,46.16
M,6/27/1977,2,513.94,45.44
F,8/1/1977,2,1113.26,45.35
F,5/20/1978,2,1518.04,44.55
F,9/25/1980,2,714.33,42.19
M,8/1/1981,2,685.69,41.35
M,4/13/1982,2,961.33,40.65
F,1/14/1983,2,699.68,39.89
F,3/20/1983,2,1052.43,39.71
F,7/25/1983,2,856.25,39.36
F,1/8/1984,2,1851.84,38.91
F,4/25/1985,2,781.99,37.61
F,3/4/1986,2,871.11,36.76
M,4/6/1987,2,751.71,35.67
F,12/29/1988,2,102.86,33.93
F,12/11/1989,2,1188.02,32.98
M,1/30/1956,3,1443.29,66.85
F,9/29/1956,3,724.24,66.18
M,4/16/1959,3,517.05,63.64
F,2/28/1961,3,832.5,61.77
M,11/10/1962,3,1434.89,60.07
F,12/26/1962,3,1541.33,59.94
F,5/10/1964,3,673.28,58.57
M,10/11/1965,3,2329.49,57.15
F,2/16/1966,3,1913.84,56.80
M,8/10/1966,3,1142.08,56.32
F,8/23/1967,3,380.33,55.29
M,3/6/1968,3,2083.9,54.75
M,3/3/1969,3,2137.85,53.76
M,7/8/1969,3,1293.29,53.41
M,3/25/1970,3,503.68,52.70
M,4/18/1970,3,1382.92,52.63
M,5/14/1972,3,733.42,50.56
F,8/22/1973,3,1108.62,49.29
F,3/3/1974,3,860.09,48.76
M,6/4/1975,3,1783.34,47.50
M,5/24/1976,3,851.04,46.53
F,10/4/1978,3,1416.61,44.17
M,8/9/1979,3,2273.39,43.32
M,2/24/1980,3,1082.04,42.78
M,9/29/1980,3,1265.31,42.18
M,1/6/1981,3,1340.8,41.91
F,4/27/1981,3,401.45,41.61
M,11/20/1981,3,1170.71,41.04
F,3/26/1982,3,726.47,40.70
M,7/22/1982,3,1810.19,40.37
F,9/8/1982,3,894.64,40.24
M,4/27/1983,3,2387.8,39.61
M,6/1/1983,3,561.2,39.51
M,9/28/1983,3,700.97,39.19
M,11/4/1984,3,793.58,38.08
M,1/25/1986,3,1314.28,36.86
M,9/6/1987,3,2818.22,35.25
M,10/24/1987,3,1791.16,35.12
M,3/14/1931,4,401.04,91.73
M,7/15/1943,4,782.18,79.39
F,9/5/1949,4,1162.97,73.25
M,2/10/1951,4,1215.01,71.82
F,8/30/1951,4,616.48,71.27
M,5/15/1958,4,947.81,64.56
F,10/13/1959,4,972.92,63.15
F,6/9/1960,4,1046.49,62.49
M,7/11/1962,4,868.34,60.40
F,6/24/1963,4,2084.78,59.45
F,6/29/1966,4,1728.48,56.44
M,9/16/1966,4,552.08,56.22
F,3/15/1969,4,944.42,53.73
F,3/24/1969,4,1398.56,53.70
M,11/1/1969,4,1099.94,53.09
F,4/5/1971,4,707.89,51.67
M,5/4/1971,4,956.12,51.59
F,10/4/1975,4,665.04,47.17
M,11/16/1976,4,859.19,46.05
F,3/9/1978,4,847.95,44.74
F,5/8/1978,4,668.49,44.58
F,11/12/1978,4,1430.36,44.06
F,7/28/1980,4,2100.86,42.35
F,10/25/1981,4,1219.11,41.11
M,2/10/1982,4,1039.77,40.82
M,5/25/1983,4,959.66,39.53
F,11/20/1987,4,975.9,35.04
F,6/27/1988,4,782.5,34.44
F,4/11/1925,5,541.45,97.65
F,2/26/1937,5,467.74,85.77
M,7/15/1939,5,903.85,83.39
F,10/29/1939,5,657.46,83.10
F,8/31/1940,5,346.48,82.26
M,12/1/1940,5,887.66,82.01
M,3/6/1941,5,1244.17,81.75
F,11/18/1941,5,775.34,81.05
M,2/27/1942,5,720.66,80.77
F,3/8/1942,5,905.36,80.75
F,6/27/1942,5,640.4,80.44
M,8/18/1942,5,809.8,80.30
M,9/2/1942,5,460.48,80.26
F,11/5/1942,5,1505.86,80.08
M,4/30/1943,5,1462.86,79.60
M,4/16/1944,5,549.38,78.64
F,7/27/1944,5,684.7,78.36
M,5/5/1945,5,807.21,77.59
F,5/22/1945,5,321.55,77.54
M,7/19/1945,5,1382.55,77.38
F,10/16/1945,5,579.63,77.14
M,1/10/1946,5,628.11,76.90
F,10/18/1946,5,1168.61,76.13
F,12/27/1946,5,1940.43,75.94
F,1/6/1947,5,885.96,75.91
M,4/6/1947,5,865.24,75.67
M,8/1/1947,5,527.38,75.35
F,9/13/1947,5,685.58,75.23
M,1/8/1948,5,654.44,74.91
M,1/28/1948,5,2084.24,74.85
M,4/20/1948,5,711.16,74.62
M,4/27/1948,5,1191.53,74.61
F,7/15/1948,5,432.08,74.39
F,1/7/1949,5,698.19,73.91
M,3/1/1949,5,922.88,73.76
F,9/6/1949,5,680.45,73.25
F,11/15/1949,5,418.14,73.06
F,5/19/1950,5,642.28,72.55
M,4/7/1951,5,663.28,71.66
M,6/2/1951,5,872.16,71.51
F,8/15/1951,5,817.84,71.31
M,1/13/1952,5,355.62,70.89
F,10/22/1952,5,786.37,70.12
F,1/20/1953,5,1210.62,69.87
F,4/2/1953,5,778.31,69.68
F,9/16/1953,5,992.31,69.22
M,9/22/1953,5,979.79,69.20
M,10/15/1953,5,1686.87,69.14
F,10/17/1953,5,788.06,69.13
M,12/14/1953,5,3318.45,68.98
F,1/18/1954,5,1591.74,68.88
M,2/2/1954,5,1488.86,68.84
M,4/13/1954,5,886,68.65
M,8/23/1954,5,849.82,68.29
M,9/4/1954,5,1124.12,68.25
M,11/19/1954,5,783.02,68.04
F,5/8/1955,5,648.68,67.58
F,5/11/1955,5,674.66,67.57
M,6/15/1955,5,1475.09,67.47
M,9/13/1955,5,529.97,67.23
M,11/27/1955,5,838.62,67.02
F,12/18/1955,5,1338.8,66.97
F,12/21/1955,5,1908.21,66.96
M,12/27/1955,5,724.98,66.94
M,3/13/1956,5,1420.44,66.73
M,5/23/1956,5,1029.29,66.53
M,6/7/1956,5,1723.76,66.49
F,7/28/1956,5,823.64,66.35
M,10/28/1956,5,3404.17,66.10
M,11/14/1956,5,960.16,66.06
M,11/24/1957,5,1851,65.03
M,5/5/1958,5,1544.95,64.59
M,7/8/1958,5,1563.15,64.41
M,7/15/1958,5,543.08,64.39
F,7/21/1958,5,441.74,64.38
F,9/24/1958,5,963.87,64.20
F,10/18/1958,5,362.49,64.13
F,12/12/1958,5,463.87,63.98
M,1/28/1959,5,1142.84,63.85
M,3/19/1959,5,3214.43,63.72
F,5/28/1959,5,1884.81,63.52
M,12/19/1959,5,1253.64,62.96
M,2/5/1960,5,561.59,62.83
F,6/17/1960,5,625.95,62.47
M,8/7/1960,5,649.1,62.33
M,2/22/1961,5,1020.75,61.78
M,8/3/1961,5,880.26,61.34
M,10/29/1961,5,902.54,61.10
M,12/9/1961,5,1212.89,60.99
F,1/11/1962,5,614.59,60.90
F,4/14/1962,5,1553.99,60.64
F,7/8/1962,5,417.98,60.41
M,8/11/1962,5,3722.9,60.32
M,10/11/1962,5,1964.16,60.15
M,12/10/1962,5,885.64,59.99
F,2/9/1963,5,1002.48,59.82
M,3/11/1963,5,2301.95,59.74
F,3/20/1963,5,882.86,59.71
M,3/22/1963,5,1069.19,59.71
F,4/30/1963,5,643.28,59.60
M,6/21/1963,5,1473.8,59.46
F,7/1/1963,5,907.81,59.43
F,8/4/1963,5,2348.07,59.34
M,10/9/1963,5,4449.76,59.16
M,1/4/1964,5,1170.67,58.92
M,2/8/1964,5,1104.79,58.82
F,3/13/1964,5,1201.02,58.73
F,4/10/1964,5,2161.7,58.65
M,4/11/1964,5,963.97,58.65
F,4/24/1964,5,1214.14,58.61
F,7/12/1964,5,628.2,58.40
M,9/28/1964,5,598.61,58.18
M,9/30/1964,5,905.5,58.18
M,1/31/1965,5,1803.18,57.84
M,5/22/1965,5,1008.46,57.54
M,7/31/1965,5,2982.93,57.35
M,3/28/1966,5,890.74,56.69
F,4/3/1966,5,1051.97,56.67
F,4/5/1966,5,755.8,56.67
M,10/12/1966,5,797.46,56.15
M,10/18/1966,5,1577.67,56.13
M,10/22/1966,5,591.5,56.12
M,1/6/1967,5,2296.81,55.91
M,1/21/1967,5,1322.58,55.87
M,4/2/1967,5,112.26,55.68
F,7/6/1967,5,1804.09,55.42
M,8/15/1967,5,638.05,55.31
F,8/31/1967,5,2898.05,55.26
M,11/4/1967,5,890.23,55.09
F,1/29/1968,5,1220.3,54.85
F,3/27/1968,5,619.57,54.69
F,9/7/1968,5,712.09,54.24
M,11/28/1968,5,1002.64,54.02
M,1/11/1969,5,563.07,53.90
M,3/27/1969,5,1958.07,53.69
F,5/16/1969,5,864.07,53.56
M,6/21/1969,5,1913.87,53.46
F,9/19/1969,5,829.96,53.21
M,10/14/1969,5,870.79,53.14
M,2/3/1970,5,994.78,52.84
M,3/10/1970,5,1403.27,52.74
M,4/5/1970,5,1522.68,52.67
M,5/1/1970,5,1486.46,52.60
F,6/25/1970,5,743.88,52.45
M,12/30/1970,5,2590.92,51.93
M,2/8/1971,5,2416.36,51.82
M,3/1/1971,5,899.46,51.76
M,4/2/1971,5,1376.04,51.68
F,5/5/1971,5,959.33,51.59
M,8/10/1971,5,584.14,51.32
F,11/13/1971,5,2072.26,51.06
M,1/27/1972,5,876.49,50.85
M,3/6/1972,5,1887.82,50.75
F,3/24/1972,5,1072.06,50.70
M,5/22/1972,5,1230.51,50.54
F,7/21/1972,5,1018.14,50.37
F,9/17/1972,5,841.97,50.21
M,9/29/1972,5,699.43,50.18
M,2/4/1973,5,692.09,49.83
F,2/13/1973,5,919.51,49.81
F,3/21/1973,5,910.21,49.71
M,5/13/1973,5,890.93,49.56
M,5/29/1973,5,1117.33,49.52
F,7/18/1973,5,809.25,49.38
F,10/25/1973,5,1143.7,49.11
M,12/23/1973,5,1768.59,48.95
M,1/28/1974,5,659.01,48.85
M,6/27/1974,5,1081.76,48.44
M,7/12/1974,5,1169.59,48.40
M,8/7/1974,5,2150.66,48.33
M,9/14/1974,5,1433.38,48.23
M,10/16/1974,5,873.68,48.14
F,12/2/1974,5,754.17,48.01
M,1/1/1975,5,1801.14,47.93
F,3/2/1975,5,606.22,47.76
F,4/7/1975,5,1888.44,47.66
M,5/16/1975,5,1522.02,47.56
F,7/21/1975,5,836.28,47.38
F,11/6/1975,5,947.37,47.08
M,5/15/1976,5,938.29,46.56
M,5/24/1976,5,787.66,46.53
M,6/1/1976,5,1639.23,46.51
F,7/17/1976,5,875.4,46.38
M,7/19/1976,5,531.48,46.38
M,10/7/1976,5,1289.77,46.16
M,3/21/1977,5,300.64,45.71
F,11/6/1977,5,701.85,45.08
F,2/1/1978,5,1074.77,44.84
F,4/17/1978,5,476.68,44.64
F,4/18/1978,5,796.24,44.63
M,5/6/1978,5,444.33,44.58
F,7/16/1978,5,762.25,44.39
M,1/26/1979,5,988.99,43.86
M,1/30/1979,5,1896.24,43.85
M,5/11/1979,5,2420.01,43.57
F,6/17/1979,5,597.22,43.47
F,8/3/1979,5,614.19,43.34
F,10/8/1979,5,923.25,43.16
M,11/21/1979,5,607.72,43.04
M,5/20/1980,5,748.75,42.54
M,8/6/1980,5,750.3,42.33
M,9/9/1980,5,1530.02,42.24
F,10/7/1980,5,681.47,42.16
M,11/14/1980,5,730.04,42.06
M,4/15/1981,5,1189.57,41.64
F,7/13/1981,5,866.19,41.40
F,7/19/1981,5,746.06,41.38
F,3/22/1982,5,579.8,40.71
M,4/25/1982,5,898.79,40.61
F,6/25/1982,5,1099.11,40.45
F,7/6/1982,5,633.51,40.42
M,7/16/1982,5,665.14,40.39
M,1/28/1983,5,1270.9,39.85
M,2/3/1983,5,771.8,39.84
F,2/22/1983,5,524.71,39.78
F,3/29/1983,5,901.44,39.69
M,5/27/1983,5,327,39.53
F,6/2/1983,5,500.65,39.51
F,7/8/1983,5,635.1,39.41
M,7/29/1983,5,743.86,39.35
F,9/21/1983,5,1747.21,39.21
M,10/10/1983,5,765.85,39.15
F,10/11/1983,5,1224.73,39.15
M,10/28/1983,5,977.13,39.10
F,1/20/1984,5,510.91,38.87
M,1/29/1984,5,978.54,38.85
M,3/31/1984,5,654.63,38.68
M,4/27/1984,5,1111.02,38.61
F,5/5/1984,5,654.91,38.58
M,9/22/1984,5,738.33,38.20
F,11/13/1984,5,568.95,38.06
F,11/30/1984,5,966.39,38.01
M,3/5/1985,5,1118.3,37.75
F,4/5/1985,5,610.92,37.67
F,7/11/1985,5,804.4,37.40
M,7/20/1985,5,1289.21,37.38
M,10/5/1985,5,485.14,37.17
